FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
7559,1467333,VIVO RESTAURANT,VIVO RESTAURANT,26877,Restaurant,838 W RANDOLPH ST,CHICAGO,IL,60607,41.884492164000001,-87.648928043300003,1,1,Canvass Re-Inspection,1,546.182300000000050,434.411400000000010,367.915700000000020
7560,1473694,PEI WEI ASIAN DINER,PEI WEI,2032142,Restaurant,2709 N ELSTON AVE,CHICAGO,IL,60647,41.930768901599997,-87.685549837699995,1,1,Canvass,0,701.456699999999960,918.666900000000060,374.074299999999990
7561,1473697,RAUL'S BAR & GRILL,RAUL'S BAR & GRILL,1143582,Restaurant,3214 W 47TH ST,CHICAGO,IL,60632,41.808222537900001,-87.704625350800001,1,1,Canvass,0,812.195699999999990,288.121399999999990,138.288299999999990
7562,1473696,BARRACO'S PIZZA,BARRACO'S PIZZA,2303698,Restaurant,3043-3047 W 111TH ST,CHICAGO,IL,60655,41.691495324100003,-87.697780401299994,1,1,Complaint,1,3897.506800000000100,1382.496699999999900,286.012999999999980
7563,1473695,CAPT CURT'S BBQ SHAZZAM,CAPT CURT'S BBQ SHAZZAM,1869232,Restaurant,8206 S COTTAGE GROVE AVE,CHICAGO,IL,60619,41.745533943200002,-87.605223151399997,1,1,Canvass,1,162.434599999999990,250.383500000000000,374.074299999999990
7564,1473698,TAQUERIA VILLA,TAQUERIA VILLA,26483,Restaurant,3139 W 63RD ST,CHICAGO,IL,60629,41.778875694500002,-87.702228757100002,1,1,Canvass,1,719.956999999999990,194.484600000000000,374.074299999999990
7565,1473702,SARPINOS PIZZERIA,SARPINOS PIZZERIA,1899258,Restaurant,1435 W MONTROSE AVE,CHICAGO,IL,60613,41.961520042899998,-87.666343707099998,1,1,Short Form Complaint,1,1275.280700000000000,434.022699999999990,983.390700000000040
7566,1473699,FROYO CHICAGO CORPORATION,FROYO,2334343,Restaurant,233 N MICHIGAN AVE,CHICAGO,IL,60601,41.886567370900003,-87.624384670599994,0,1,License,0,192.755000000000000,265.544600000000000,1256.839700000000000
7567,1473700,EL SOL DE MICHOACAN,EL SOL DE MICHOACAN,2093201,Restaurant,2716 W CERMAK RD,CHICAGO,IL,60608,41.852032880199999,-87.693788075599997,1,1,Canvass,1,1429.492500000000100,503.091099999999980,158.617400000000000
7568,1473703,SIAM FOOD COMPANY,SIAM FOOD COMPANY,21017,Restaurant,1639-1643 E 55TH ST,CHICAGO,IL,60615,41.795105426100001,-87.585045949100007,1,1,Canvass Re-Inspection,1,935.956599999999980,332.165399999999980,626.500199999999950
